original_name,matched_name,latitude,longitude,type,score,status
Saint-Quentin,Saint-Quentin,49.847398,3.28745,municipality,0.7262699999999999,found
Ercheu,Ercheu,49.704502,2.947922,municipality,0.530190505050505,found
Dury,Dury,49.858514,2.274577,municipality,0.4177076623376623,found
Ollezy,Ollezy,49.733653,3.144167,municipality,0.5234541414141415,found
Saint-Simon,saint simon 44450 Divatte-sur-Loire,47.289813,-1.369983,street,0.6910051948051947,review
Raulieu,Aulieu 31560 Nailloux,43.350178,1.61156,street,0.4905690909090909,review
cathédrale de Saint-Quentin,Route de la Cathédrale 20217 Saint-Florent,42.679732,9.305971,street,0.5138762790697674,review
bois du Sphynx,,,,,,not_found
Grand-Séraucourt,Seraucourt-le-Grand,49.781364,3.21154,municipality,0.5782524110671937,found
Artemps,Artemps,49.763977,3.191394,municipality,0.5672909090909091,found
route de Saint-Quentin,Route de Saint Quentin 38430 Moirans,45.319495,5.551439,street,0.8166490909090908,review
Pire-Aller,Rue du Pire Aller 62132 Fiennes,50.821416,1.826218,street,0.5150452631578947,review
Somme,La Somme 23500 Poussanges,45.818899,2.211037,street,0.4755681818181817,review
Oestres,Rue d’Oestres 02680 Dallon,49.822741,3.245288,street,0.4643542424242424,review
Gauchy,Gauchy,49.826081,3.280949,municipality,0.5389495959595959,found
Grugies,Grugies,49.813366,3.265785,municipality,0.5728772727272726,found
Dallon,Dallon,49.825987,3.240651,municipality,0.5276614141414141,found
Noyon,190 Rue de Noyon 60190 Remy,49.436716,2.709543,housenumber,0.5333566666666667,review
Quesmy,Quesmy,49.633038,3.059177,municipality,0.5235332323232323,found
Salency,Salency,49.588166,3.04764,municipality,0.5713963636363636,found
Mailly,Mailly,46.223888,4.114319,municipality,0.5228323232323232,found
camp de Sainte-Tanche,Rue Sainte Tanche 10700 Lhuître,48.569599,4.252323,street,0.5251777622377621,review
secteur des Hurlus,Parking Secteur des Hotels 33300 Bordeaux,44.88828,-0.564905,locality,0.41305035812672175,found
Chavannes,Chavannes 37140 Benais,47.313952,0.199179,street,0.6435324242424242,review
Vitry-la-Ville,Vitry-la-Ville,48.841614,4.455771,municipality,0.7170853475935828,found
Somme-Suippes,Somme-Suippe,49.117914,4.578358,municipality,0.64838,found
Tahure,Rue de Tahure 76620 Le Havre,49.513392,0.123119,street,0.42528636363636363,review
plateau de la Pie,Rue du Plateau 44770 Préfailles,47.1271,-2.217511,street,0.4371187351778656,review
camp F.,Camp Cros 13450 Grans,43.605738,5.064722,street,0.4159969696969697,review
Perthes,Perthes,48.483896,2.533875,municipality,0.575181818181818,found
butte de Souain,Route de Souain 51600 Suippes,49.135094,4.534769,street,0.5880345454545455,review
Pont-Sainte-Maxence,Pont-Sainte-Maxence,49.309303,2.60379,municipality,0.7816307438016529,found
Verderonne,Verderonne,49.327464,2.492058,municipality,0.6525333566433567,found
Cinqueux,Cinqueux,49.318343,2.532266,municipality,0.6071687603305785,found
Cernoy,Cernoy,49.441073,2.537995,municipality,0.5259377777777777,found
Trois-Etots,Trois Étots 60190 Cernoy,49.44865,2.535251,street,0.6733879220779221,review
La Montagne,209 montagne 44390 Les Touches,47.437366,-1.476361,housenumber,0.760053896103896,review
Hémévillers,Hémévillers,49.466321,2.669684,municipality,0.6723242857142857,found
Elogette,Elogette 60190 Rouvillers,49.438875,2.610935,street,0.6065278512396693,review
Neufvy,Rue de Neufvy 60190 Gournay-sur-Aronde,49.493809,2.673137,street,0.3985190909090909,review
Saint-Maur,213 Rue Saint-Maur 75010 Paris,48.87286,2.370902,housenumber,0.7588198930481281,review
Gournay,Gournay 50620 Tribehou,49.207379,-1.22618,street,0.5819727272727272,review
bois du Grand-Cheval,Impasse du Bois Cheval 71600 Poisson,46.374104,4.12196,street,0.4530224242424242,review
bois de Ressons,Bois de Tessone 30120 Molières-Cavaillac,43.965363,3.58227,locality,0.5052977489177489,found
Aronde,l'Aronde 53170 Ruillé-Froid-Fonds,47.89821,-0.645336,street,0.5725190909090908,review
route de Compiègne,Route de Compiegne 60800 Crépy-en-Valois,49.243045,2.881758,street,0.7853107359307359,review
Ressons,Resson 10400 La Saulsotte,48.552087,3.492807,locality,0.4823745454545454,found
Canny-sur-Matz,Canny-sur-Matz,49.602124,2.79893,municipality,0.7175835294117646,found
La Berlière,la Berlière 79310 Saint-Pardoux-Soutiers,46.567601,-0.305611,street,0.6880651948051948,review
Villers,Villers 77120 Beautheil-Saints,48.770323,3.097346,street,0.5915736363636362,review
le Haut Matz,Le Marais du Haut Matz 60490 Ricquebourg,49.5622,2.751966,locality,0.42402181818181817,found
bois des Loges,Bois des Loges 91410 Saint-Cyr-sous-Dourdan,48.557624,2.050837,locality,0.724557165775401,found
le Matz,le Matz 44260 Savenay,47.36785,-1.944331,street,0.5952154545454545,review
ferme de Canny,Ferme de Canny 60310 Canny-sur-Matz,49.607179,2.78624,street,0.7207344385026736,review
bois du Verlot,Route du Bois Vélot 03120 Servilly,46.286522,3.585216,street,0.5037064822134386,review
Lassigny,Lassigny,49.595024,2.845555,municipality,0.6065714876033057,found
orme de Canny,Avenue des 3 Ormes 66680 Canohès,42.658878,2.840979,street,0.34451149560117295,review
